id,domain,target,source_id,source_locator,truth_class,claim,geometry_write_authority,confidence,ingested_at,guard,numeric_json
obs.bonani.sample_count,chronology_method,old_middle_kingdom_monuments,src.bonani2001.radiocarbon,"Radiocarbon 43(3), abstract",PEER_REVIEWED_METHOD_RECORD,Bonani et al. report that more than 450 organic samples were collected from Old and Middle Kingdom monuments between 1984 and 1995 for radiocarbon chronology work.,NONE_METHOD_ONLY,HIGH,2026-09-12,,"{""value"":450,""unit"":""samples"",""qualifier"":""more_than""}"
obs.material.kh.granite_base_casing,materials,khafre_casing,src.npj2020.materials,Sustainability problems of the Giza pyramids,PUBLISHED_MATERIAL_INTERPRETATION,"The 2020 materials study reports that Khafre’s base casing layers included granite types sourced from the Aswan quarry region, while upper surviving casing is fine limestone.",MATERIAL_CONTEXT_ONLY,MEDIUM_HIGH,2026-09-12,,
obs.material.kh.gypsum_mortar,materials,khafre_core_masonry,src.npj2020.materials,Sustainability problems of the Giza pyramids,PUBLISHED_LAB_INTERPRETATION,"The 2020 materials study characterizes structural mortars joining Khafre backing limestone as gypsum-rich mortar with gypsum/anhydrite, calcite/rock fragments and minor constituents.",MATERIAL_CONTEXT_ONLY,MEDIUM_HIGH,2026-09-12,,
obs.material.kh.local_quarry_context,quarrying,khafre_core_masonry,src.npj2020.materials,Sustainability problems of the Giza pyramids,PUBLISHED_INTERPRETATION,The 2020 materials study states that local fossiliferous limestone from nearby Giza quarries—including trench/quarry areas around Khafre—supplied core/backing masonry.,MATERIAL_CONTEXT_ONLY,MEDIUM_HIGH,2026-09-12,,
obs.geology.giza_cliffline,geology,giza_plateau,src.aigner1983,abstract,PEER_REVIEWED_GEOLOGY,"Aigner interprets Giza plateau escarpments as a Pliocene cliff-line and identifies lithology, joint patterns and faults as important geomorphological controls.",NONE_GEOLOGY_CONTEXT,HIGH,2026-09-12,,
obs.intent.royal_complex.funeral_afterlife,ritual_function,old_kingdom_royal_pyramid_complex,src.digitalgiza.royal_pyramid_complexes,Royal Pyramid Complexes lesson — complex purposes,SCHOLARLY_SYNTHESIS,"Digital Giza describes royal pyramid complexes as settings for the royal funeral, procession and preparation of the deceased ruler for the afterlife.",NONE_INTERPRETIVE_CONTEXT,HIGH,2026-09-12,,
obs.intent.royal_complex.offering_cult,ritual_function,old_kingdom_royal_pyramid_complex,src.digitalgiza.royal_pyramid_complexes,Royal Pyramid Complexes lesson — post-burial cult,SCHOLARLY_SYNTHESIS,"Digital Giza describes post-burial royal offering cult activity in pyramid complexes, including priestly care, offerings and ritual readings intended to sustain the deceased king.",NONE_INTERPRETIVE_CONTEXT,HIGH,2026-09-12,,
obs.intent.old_kingdom.solar_symbolism,ideology,old_kingdom_royal_pyramid_tradition,src.met.old_kingdom,Old Kingdom essay — royal funerary complex and solar cult,SCHOLARLY_CONTEXT,"The Met describes Old Kingdom royal funerary architecture as increasingly connected with solar kingship, including interpretation of the pyramid as a solar symbol associated with Heliopolitan tradition.",NONE_CONTEXT_ONLY,MEDIUM_HIGH,2026-09-12,,
obs.intent.old_kingdom.centralized_state,political_organization,old_kingdom_state,src.met.old_kingdom,Old Kingdom essay — kingship and administration,SCHOLARLY_CONTEXT,"The Met characterizes Old Kingdom kingship as highly centralized, with the king at the apex of a strongly stratified administration and major state-planned mortuary landscapes.",NONE_CONTEXT_ONLY,HIGH,2026-09-12,,
obs.digitalgiza.causeway.statue_head,archaeology,khafre_causeway,src.digitalgiza.khafre_causeway,Khafre Causeway record — Finds 1,CATALOG_FACT,Digital Giza indexes a limestone statue head as a find associated with the Khafre Causeway.,NONE_CATALOG_ONLY,HIGH,2026-09-13,,
obs.egyptianmuseum.khafre_valley_statue,archaeology,khafre_valley_temple,src.egyptianmuseum.khafre_statue,Statue of Khafre object record — discovery/material/size,OFFICIAL_MUSEUM_OBJECT_RECORD,The Egyptian Museum records a 168 cm diorite statue of Khafre discovered in the Valley Temple and describes it as one of about 23 similar statues.,NONE_OBJECT_PROVENANCE_ONLY,HIGH,2026-09-13,,"{""height_cm"":168,""reported_group_count_approx"":23}"
obs.egyptianmuseum.khafre_iconography,iconography,khafre_royal_sculpture,src.egyptianmuseum.khafre_statue,Statue of Khafre object record — throne/falcon description,OFFICIAL_MUSEUM_CURATORIAL_DESCRIPTION,The Khafre statue is described with a sema-tawy throne motif signifying the union of Upper and Lower Egypt and a Horus falcon behind the king in a protective gesture.,NONE_CONTEXT_ONLY,HIGH_CURATORIAL,2026-09-13,,
obs.met.architrave.doorway_context,architecture_epigraphy,khafre_pyramid_temple,src.met.khafre_architrave,Met object record N.A.1999.4.1 — court/doorway reconstruction,CURATORIAL_INTERPRETATION,The Met reconstructs the Khafre architrave as bridging wide piers around the pyramid-temple court so the royal cartouche surmounted a doorway; traces indicate flying falcons associated with statues inset into the piers.,NONE_CONTEXT_ONLY,HIGH_CURATORIAL,2026-09-13,,
obs.room.hoelscher.program,architecture,khafre_pyramid_temple,src.hoelscher1912,Contents; pp. 24–30; plates III/VI,PRIMARY_EXCAVATION_DESCRIPTION,"Hölscher separates the mortuary temple description into vestibule, wide hall, deep hall, serdabs, statue court, an inner/intimate temple zone, side rooms, and pyramid court.",NONE_PRIMARY_PLAN_CONTEXT,HIGH,2026-09-13,,
obs.room.hoelscher.causeway_length,survey_history,khafre_causeway,src.hoelscher1912,p. 24 / detailed causeway discussion p. 49,HISTORICAL_MEASUREMENT,Hölscher reports the Khafre causeway length as 494.60 m.,NONE_REQUIRES_MODERN_RECONCILIATION,HIGH,2026-09-13,Historical measurement candidate; do not overwrite current geometry without source-byte and survey reconciliation.,"{""value"":494.6,""unit"":""m"",""si_value"":494.6,""si_unit"":""m""}"
obs.room.hoelscher.causeway_slope,survey_history,khafre_causeway,src.hoelscher1912,p. 24; Plate X,HISTORICAL_MEASUREMENT_APPROX,Hölscher describes the covered causeway corridor as rising at approximately 1:11.,NONE_REQUIRES_MODERN_RECONCILIATION,MEDIUM_HIGH,2026-09-13,Approximate historical slope; source/modern datum reconciliation required.,"{""rise_run_ratio"":0.09090909090909091,""reported_ratio"":""1:11""}"
obs.room.hoelscher.causeway_environment,architecture,khafre_causeway,src.hoelscher1912,p. 24; Plate X,PRIMARY_EXCAVATION_INTERPRETATION,Hölscher describes the causeway as a narrow covered corridor on a natural rock tongue and suggests ceiling slit-lighting; the lighting reconstruction remains interpretive.,NONE,MEDIUM_HIGH,2026-09-13,Covered/narrow corridor is architectural reconstruction; skylight form is not direct surviving testimony.,
obs.room.hoelscher.causeway_drain,architecture,khafre_causeway,src.hoelscher1912,"pp. 24, 49–50",PRIMARY_ARCHITECTURAL_OBSERVATION,Hölscher records drainage provision at the lower end of the causeway.,NONE,HIGH,2026-09-13,,
obs.room.hoelscher.entry_branch,topology,khafre_pyramid_temple,src.hoelscher1912,p. 25,PRIMARY_EXCAVATION_DESCRIPTION,"At the upper temple entrance, Hölscher describes a smaller branch toward side rooms and a larger opening into the southwest corner of the vestibule.",NONE,HIGH,2026-09-13,,
obs.room.hoelscher.vestibule_materials,architecture_materials,khafre_pyramid_temple_vestibule,src.hoelscher1912,p. 25,PRIMARY_EXCAVATION_DESCRIPTION,"Hölscher describes the transverse vestibule with two square granite pillars, granite wall treatment, and an alabaster floor.",NONE,HIGH,2026-09-13,,
obs.room.hoelscher.public_private,interpretation,khafre_pyramid_temple,src.hoelscher1912,pp. 24–30,HISTORICAL_FUNCTIONAL_INTERPRETATION,Hölscher divided the mortuary temple into larger “public” and narrower western “intimate” zones and proposed different participant scales for them.,NONE_INTERPRETIVE,MEDIUM,2026-09-13,"Historical functional terminology is retained as Hölscher’s interpretation, not ancient terminology or direct evidence of participant counts.",
obs.room.hoelscher.court_passages,architecture,khafre_pyramid_temple_statue_court,src.hoelscher1912,p. 55 (digital page #0087),PRIMARY_EXCAVATION_OBSERVATION,Hölscher considered the transverse statue-court plan with five versus three openings on opposing sides secure from surviving traces.,NONE,HIGH,2026-09-13,,
obs.room.hoelscher.court_materials,architecture_materials,khafre_pyramid_temple_statue_court,src.hoelscher1912,p. 55 (digital page #0087),PRIMARY_EXCAVATION_OBSERVATION,Hölscher records alabaster paving in the court/passages and granite cladding traces on walls between court and ambulatory.,NONE,HIGH,2026-09-13,,
obs.room.hoelscher.court_inscriptions,epigraphy,khafre_pyramid_temple_statue_court,src.hoelscher1912,p. 55 (digital page #0087),PRIMARY_FIND_PLUS_INTERPRETATION,Granite fragments with royal titulary were found around the court; Hölscher inferred that court doorways carried inscriptions.,NONE,MEDIUM_HIGH,2026-09-13,Fragments are direct finds; doorway-distribution reconstruction is inferential.,
obs.room.hoelscher.court_statue_holes,architecture_statuary,khafre_pyramid_temple_statue_court,src.hoelscher1912,p. 56 (digital page #0088),PRIMARY_FIND_PLUS_RECONSTRUCTION,Large emplacement holes between door axes contained polished red-granite remnants. Hölscher interpreted them as settings for standing royal statues.,NONE,MEDIUM_HIGH,2026-09-13,Emplacement holes and granite remnants are observed; standing-statue identity is a reconstruction.,
obs.room.hoelscher.statue_removal,archaeology,khafre_pyramid_temple_statue_court,src.hoelscher1912,p. 56 (digital page #0088),PRIMARY_EXCAVATION_OBSERVATION,Hölscher reports cut/lever traces around the emplacement holes consistent with careful removal of large fitted stones/statues.,NONE,HIGH,2026-09-13,,
obs.room.hoelscher.court_level_step,architecture_hydrology,khafre_pyramid_temple_statue_court,src.hoelscher1912,p. 56 (digital page #0088),HISTORICAL_MEASUREMENT_APPROX,Hölscher reports the ambulatory/cult-room floor about 5 cm above the court pavement and interprets the step as rainwater protection.,NONE,MEDIUM_HIGH,2026-09-13,Approximate historical difference; drainage function is author interpretation.,"{""value"":0.05,""unit"":""m"",""si_value"":0.05,""si_unit"":""m""}"
obs.room.oxford.pyramid_temple_dimensions,architecture,khafre_pyramid_temple,src.oxford.flentye2018,"Khafra’s Pyramid Temple, lines 353–358",SCHOLARLY_SYNTHESIS,Flentye summarizes Khafre’s pyramid temple as approximately 56.2 × 111.2 m.,NONE_CROSSCHECK_ONLY,HIGH,2026-09-13,Secondary synthesis; preserve against detailed survey sources rather than writing geometry.,"{""width_m"":56.2,""length_m"":111.2,""unit"":""m""}"
obs.room.oxford.pyramid_temple_program,architecture,khafre_pyramid_temple,src.oxford.flentye2018,"Khafra’s Pyramid Temple, lines 354–358",SCHOLARLY_SYNTHESIS,"The pyramid temple is summarized as containing wide and deep pillared halls, a court, five chapels, and magazines.",NONE,HIGH,2026-09-13,,
obs.room.oxford.court_reconstruction_dispute,source_conflict,khafre_pyramid_temple_statue_court,src.oxford.flentye2018,"Khafra’s Pyramid Temple, lines 355–358",SCHOLARLY_CONFLICT_SYNTHESIS,"The court statuary reconstruction remains disputed: Hölscher proposed twelve colossal standing/Osiride-form statues, Ricke proposed seated figures, and later Arnold/Jánosi revisions challenged earlier reconstructions.",NONE,HIGH,2026-09-13,Preserve competing reconstructions; do not collapse to one court model.,
obs.room.oxford.five_chapels_function,interpretation,khafre_pyramid_temple_chapels,src.oxford.flentye2018,"Khafra’s Pyramid Temple, line 358",SCHOLARLY_RECONSTRUCTION,The five chapels beyond the court are interpreted as probably containing royal statues and barques.,NONE_INTERPRETIVE,MEDIUM_HIGH,2026-09-13,,
obs.room.oxford.causeway,architecture,khafre_causeway,src.oxford.flentye2018,"Khafra’s Causeway, lines 359–362",SCHOLARLY_SYNTHESIS,"Flentye summarizes the Khafre causeway as about 494 m long, covered, and decorated with reliefs.",NONE,HIGH,2026-09-13,Secondary synthesis cross-check; not a geometry write.,"{""value"":494,""unit"":""m"",""si_value"":494,""si_unit"":""m""}"
obs.room.oxford.valley_plan,architecture,khafre_valley_temple,src.oxford.flentye2018,"Khafra’s Valley Temple, lines 377–383",SCHOLARLY_SYNTHESIS,Khafre’s Valley Temple is described as T-shaped and reconstructed primarily around a statuary program rather than limestone relief decoration.,NONE,HIGH,2026-09-13,,
obs.room.oxford.valley_entries,architecture_epigraphy,khafre_valley_temple,src.oxford.flentye2018,"Khafra’s Valley Temple, lines 380–381",SCHOLARLY_SYNTHESIS,The east façade has two entrances; associated inscriptions mention Bastet at the north entrance and Hathor at the south entrance. Flanking sphinx/lion figures are reconstructed.,NONE,HIGH,2026-09-13,Entrance/inscription association is source-backed; flanking animal reconstruction remains interpretive.,
obs.room.oxford.valley_niches,architecture_statuary,khafre_valley_temple_t_hall,src.oxford.flentye2018,"Khafra’s Valley Temple, line 382",SCHOLARLY_SYNTHESIS,"Twenty-three niches are reported in the alabaster floor along the T-shaped hall’s granite walls, arranged 3/7/3/7/3 in Seidel’s reconstruction.",NONE,HIGH,2026-09-13,Niche count is architectural evidence; assignment of specific statues to niches is reconstruction.,"{""count"":23,""arrangement"":[3,7,3,7,3]}"
obs.room.oxford.valley_center_niche,statuary_reconstruction,khafre_valley_temple_t_hall,src.oxford.flentye2018,"Khafra’s Valley Temple, line 383",SCHOLARLY_RECONSTRUCTION,The largest central niche on the far west wall is reconstructed as the position of the famous seated Khafre-and-Horus statue (Cairo CG 14).,NONE_INTERPRETIVE,MEDIUM_HIGH,2026-09-13,,
obs.room.arce.valley_plan_1_100,survey_archive,khafre_valley_temple,src.opencontext.arce_sphinx,Project archive inventory — detailed maps,ARCHIVE_INVENTORY_FACT,The ARCE Sphinx Project archive includes detailed maps of the Fourth Dynasty Khafre Valley Temple at 1:100 scale.,NONE_UNTIL_SOURCE_BYTES_PARSED,HIGH,2026-09-13,"Archive inventory confirms map existence/scale, not parsed plan coordinates.","{""scale_denominator"":100}"
obs.room.arce.detail_sections,survey_archive,sphinx_complex,src.opencontext.arce_sphinx,Project archive inventory — architectural sections,ARCHIVE_INVENTORY_FACT,The ARCE archive includes detailed architectural sections/elevations of masonry layers at 1:20 and 1:10 and wider topographic/geological mapping at 1:200.,NONE_UNTIL_SOURCE_BYTES_PARSED,HIGH,2026-09-13,,"{""section_scales"":[20,10],""context_scale"":200}"
obs.room.ministry.valley_hall,architecture,khafre_valley_temple,src.egypt_ministry,Official Khafre complex summary — Valley Temple,OFFICIAL_SUMMARY,"The Egyptian Ministry describes the Valley Temple as massive limestone encased in granite, with alabaster floors, a wide hall of monolithic granite pillars, and symmetrical wall niches that once held royal statues.",NONE,HIGH,2026-09-13,,
obs.room.perring.belzoni_chamber,architecture,khafre_burial_chamber,src.perring1840.khafre,"Vol. II, Plate III, digital page #0005",PRIMARY_HISTORICAL_SURVEY,Perring describes Belzoni’s chamber as rock-cut with a block-built inclined roof; the western end contains a plain red-granite sarcophagus sunk into the paved floor and surrounded by granite blocks.,NONE_EXISTING_INTERIOR_CROSSCHECK,HIGH,2026-09-13,,
obs.room.perring.lower_chamber,architecture,khafre_lower_chamber,src.perring1840.khafre,"Vol. II, Plate IV, digital page #0005",PRIMARY_HISTORICAL_SURVEY,"Perring records a lower rock-cut chamber, connected to the lower passage system and historically affected by water ingress.",NONE_EXISTING_INTERIOR_CROSSCHECK,HIGH,2026-09-13,,
obs.room.perring.two_entrances,architecture,khafre_pyramid_interior,src.perring1840.khafre,"Vol. II, Plates I–IV; digital page #0005",PRIMARY_HISTORICAL_SURVEY,"Perring’s survey documents upper and lower entrance/passages that converge into the Second Pyramid interior system, including a portcullis and horizontal passage.",NONE_EXISTING_INTERIOR_CROSSCHECK,HIGH,2026-09-13,,
obs.plan.digitalgiza.pyramid_temple_refs,bibliography,khafre_pyramid_temple,src.digitalgiza.khafre_pyramid_temple,3D model/full bibliography record,CATALOG_FACT,"Digital Giza’s Khafre Pyramid Temple 3D record cross-links Hölscher, Arnold, Ricke, Hassan and Maragioglio/Rinaldi as reconstruction/bibliographic sources.",NONE,HIGH,2026-09-13,,
obs.plan.digitalgiza.valley_temple_refs,bibliography,khafre_valley_temple,src.digitalgiza.khafre_valley_temple,3D model/full bibliography record,CATALOG_FACT,"Digital Giza’s Khafre Valley Temple 3D record cross-links Arnold, Hölscher, Ricke, Lehner and Maragioglio/Rinaldi.",NONE,HIGH,2026-09-13,,
obs.room.perring.portcullis_mechanism,architecture_access_control,khafre_pyramid_interior_portcullis,src.perring1840.khafre,"Vol. II, Plate II — Passages; chamber/anteroom with three portcullises",PRIMARY_HISTORICAL_SURVEY,"Perring documents a chamber system with three portcullis slabs, grooves/recesses, and holes he interpreted as supporting or handling beams, providing direct evidence for deliberate physical closure within the interior route.",NONE_EXISTING_INTERIOR_CROSSCHECK,HIGH,2026-09-13,Perring's mechanism interpretation is historical; existence of portcullis slabs/grooves is the stronger architectural observation.,
obs.room.met.court_doorway_program,architecture_epigraphy_statuary,khafre_pyramid_temple_court,src.met.khafre_architrave,Met object N.A.1999.4.1 — architectural reconstruction of Khafre architrave,CURATORIAL_RECONSTRUCTION,"The Met reconstructs Khafre's red-granite architrave as spanning wide piers and a doorway around the pyramid-temple court, with royal titulary above the threshold and traces interpreted as flying falcons beside royal statues inset in the piers.",NONE_CONTEXT_ONLY,HIGH_CURATORIAL,2026-09-13,The object and inscription are physical evidence; exact original court placement and complete architectural composition are curatorial reconstruction.,
