observation_id,domain,target,source_id,truth_class,geometry_write_authority,confidence,source_locator,claim,numeric_json
obs.intent.old_kingdom.centralized_state,political_organization,old_kingdom_state,src.met.old_kingdom,SCHOLARLY_CONTEXT,NONE_CONTEXT_ONLY,HIGH,Old Kingdom essay — kingship and administration,"The Met characterizes Old Kingdom kingship as highly centralized, with the king at the apex of a strongly stratified administration and major state-planned mortuary landscapes.",
obs.digitalgiza.causeway.statue_head,archaeology,khafre_causeway,src.digitalgiza.khafre_causeway,CATALOG_FACT,NONE_CATALOG_ONLY,HIGH,Khafre Causeway record — Finds 1,Digital Giza indexes a limestone statue head as a find associated with the Khafre Causeway.,
obs.egyptianmuseum.khafre_valley_statue,archaeology,khafre_valley_temple,src.egyptianmuseum.khafre_statue,OFFICIAL_MUSEUM_OBJECT_RECORD,NONE_OBJECT_PROVENANCE_ONLY,HIGH,Statue of Khafre object record — discovery/material/size,The Egyptian Museum records a 168 cm diorite statue of Khafre discovered in the Valley Temple and describes it as one of about 23 similar statues.,"{""height_cm"":168,""reported_group_count_approx"":23}"
obs.egyptianmuseum.khafre_iconography,iconography,khafre_royal_sculpture,src.egyptianmuseum.khafre_statue,OFFICIAL_MUSEUM_CURATORIAL_DESCRIPTION,NONE_CONTEXT_ONLY,HIGH_CURATORIAL,Statue of Khafre object record — throne/falcon description,The Khafre statue is described with a sema-tawy throne motif signifying the union of Upper and Lower Egypt and a Horus falcon behind the king in a protective gesture.,
obs.met.architrave.doorway_context,architecture_epigraphy,khafre_pyramid_temple,src.met.khafre_architrave,CURATORIAL_INTERPRETATION,NONE_CONTEXT_ONLY,HIGH_CURATORIAL,Met object record N.A.1999.4.1 — court/doorway reconstruction,The Met reconstructs the Khafre architrave as bridging wide piers around the pyramid-temple court so the royal cartouche surmounted a doorway; traces indicate flying falcons associated with statues inset into the piers.,
obs.room.hoelscher.program,architecture,khafre_pyramid_temple,src.hoelscher1912,PRIMARY_EXCAVATION_DESCRIPTION,NONE_PRIMARY_PLAN_CONTEXT,HIGH,Contents; pp. 24–30; plates III/VI,"Hölscher separates the mortuary temple description into vestibule, wide hall, deep hall, serdabs, statue court, an inner/intimate temple zone, side rooms, and pyramid court.",
obs.room.hoelscher.causeway_length,survey_history,khafre_causeway,src.hoelscher1912,HISTORICAL_MEASUREMENT,NONE_REQUIRES_MODERN_RECONCILIATION,HIGH,p. 24 / detailed causeway discussion p. 49,Hölscher reports the Khafre causeway length as 494.60 m.,"{""value"":494.6,""unit"":""m"",""si_value"":494.6,""si_unit"":""m""}"
obs.room.hoelscher.causeway_slope,survey_history,khafre_causeway,src.hoelscher1912,HISTORICAL_MEASUREMENT_APPROX,NONE_REQUIRES_MODERN_RECONCILIATION,MEDIUM_HIGH,p. 24; Plate X,Hölscher describes the covered causeway corridor as rising at approximately 1:11.,"{""rise_run_ratio"":0.09090909090909091,""reported_ratio"":""1:11""}"
obs.room.hoelscher.causeway_environment,architecture,khafre_causeway,src.hoelscher1912,PRIMARY_EXCAVATION_INTERPRETATION,NONE,MEDIUM_HIGH,p. 24; Plate X,Hölscher describes the causeway as a narrow covered corridor on a natural rock tongue and suggests ceiling slit-lighting; the lighting reconstruction remains interpretive.,
obs.room.hoelscher.causeway_drain,architecture,khafre_causeway,src.hoelscher1912,PRIMARY_ARCHITECTURAL_OBSERVATION,NONE,HIGH,"pp. 24, 49–50",Hölscher records drainage provision at the lower end of the causeway.,
obs.room.hoelscher.entry_branch,topology,khafre_pyramid_temple,src.hoelscher1912,PRIMARY_EXCAVATION_DESCRIPTION,NONE,HIGH,p. 25,"At the upper temple entrance, Hölscher describes a smaller branch toward side rooms and a larger opening into the southwest corner of the vestibule.",
obs.room.hoelscher.vestibule_materials,architecture_materials,khafre_pyramid_temple_vestibule,src.hoelscher1912,PRIMARY_EXCAVATION_DESCRIPTION,NONE,HIGH,p. 25,"Hölscher describes the transverse vestibule with two square granite pillars, granite wall treatment, and an alabaster floor.",
obs.room.hoelscher.public_private,interpretation,khafre_pyramid_temple,src.hoelscher1912,HISTORICAL_FUNCTIONAL_INTERPRETATION,NONE_INTERPRETIVE,MEDIUM,pp. 24–30,Hölscher divided the mortuary temple into larger “public” and narrower western “intimate” zones and proposed different participant scales for them.,
obs.room.hoelscher.court_passages,architecture,khafre_pyramid_temple_statue_court,src.hoelscher1912,PRIMARY_EXCAVATION_OBSERVATION,NONE,HIGH,p. 55 (digital page #0087),Hölscher considered the transverse statue-court plan with five versus three openings on opposing sides secure from surviving traces.,
obs.room.hoelscher.court_materials,architecture_materials,khafre_pyramid_temple_statue_court,src.hoelscher1912,PRIMARY_EXCAVATION_OBSERVATION,NONE,HIGH,p. 55 (digital page #0087),Hölscher records alabaster paving in the court/passages and granite cladding traces on walls between court and ambulatory.,
obs.room.hoelscher.court_inscriptions,epigraphy,khafre_pyramid_temple_statue_court,src.hoelscher1912,PRIMARY_FIND_PLUS_INTERPRETATION,NONE,MEDIUM_HIGH,p. 55 (digital page #0087),Granite fragments with royal titulary were found around the court; Hölscher inferred that court doorways carried inscriptions.,
obs.room.hoelscher.court_statue_holes,architecture_statuary,khafre_pyramid_temple_statue_court,src.hoelscher1912,PRIMARY_FIND_PLUS_RECONSTRUCTION,NONE,MEDIUM_HIGH,p. 56 (digital page #0088),Large emplacement holes between door axes contained polished red-granite remnants. Hölscher interpreted them as settings for standing royal statues.,
obs.room.hoelscher.statue_removal,archaeology,khafre_pyramid_temple_statue_court,src.hoelscher1912,PRIMARY_EXCAVATION_OBSERVATION,NONE,HIGH,p. 56 (digital page #0088),Hölscher reports cut/lever traces around the emplacement holes consistent with careful removal of large fitted stones/statues.,
obs.room.hoelscher.court_level_step,architecture_hydrology,khafre_pyramid_temple_statue_court,src.hoelscher1912,HISTORICAL_MEASUREMENT_APPROX,NONE,MEDIUM_HIGH,p. 56 (digital page #0088),Hölscher reports the ambulatory/cult-room floor about 5 cm above the court pavement and interprets the step as rainwater protection.,"{""value"":0.05,""unit"":""m"",""si_value"":0.05,""si_unit"":""m""}"
obs.room.oxford.pyramid_temple_dimensions,architecture,khafre_pyramid_temple,src.oxford.flentye2018,SCHOLARLY_SYNTHESIS,NONE_CROSSCHECK_ONLY,HIGH,"Khafra’s Pyramid Temple, lines 353–358",Flentye summarizes Khafre’s pyramid temple as approximately 56.2 × 111.2 m.,"{""width_m"":56.2,""length_m"":111.2,""unit"":""m""}"
obs.room.oxford.pyramid_temple_program,architecture,khafre_pyramid_temple,src.oxford.flentye2018,SCHOLARLY_SYNTHESIS,NONE,HIGH,"Khafra’s Pyramid Temple, lines 354–358","The pyramid temple is summarized as containing wide and deep pillared halls, a court, five chapels, and magazines.",
obs.room.oxford.court_reconstruction_dispute,source_conflict,khafre_pyramid_temple_statue_court,src.oxford.flentye2018,SCHOLARLY_CONFLICT_SYNTHESIS,NONE,HIGH,"Khafra’s Pyramid Temple, lines 355–358","The court statuary reconstruction remains disputed: Hölscher proposed twelve colossal standing/Osiride-form statues, Ricke proposed seated figures, and later Arnold/Jánosi revisions challenged earlier reconstructions.",
obs.room.oxford.five_chapels_function,interpretation,khafre_pyramid_temple_chapels,src.oxford.flentye2018,SCHOLARLY_RECONSTRUCTION,NONE_INTERPRETIVE,MEDIUM_HIGH,"Khafra’s Pyramid Temple, line 358",The five chapels beyond the court are interpreted as probably containing royal statues and barques.,
obs.room.oxford.causeway,architecture,khafre_causeway,src.oxford.flentye2018,SCHOLARLY_SYNTHESIS,NONE,HIGH,"Khafra’s Causeway, lines 359–362","Flentye summarizes the Khafre causeway as about 494 m long, covered, and decorated with reliefs.","{""value"":494,""unit"":""m"",""si_value"":494,""si_unit"":""m""}"
obs.room.oxford.valley_plan,architecture,khafre_valley_temple,src.oxford.flentye2018,SCHOLARLY_SYNTHESIS,NONE,HIGH,"Khafra’s Valley Temple, lines 377–383",Khafre’s Valley Temple is described as T-shaped and reconstructed primarily around a statuary program rather than limestone relief decoration.,
obs.room.oxford.valley_entries,architecture_epigraphy,khafre_valley_temple,src.oxford.flentye2018,SCHOLARLY_SYNTHESIS,NONE,HIGH,"Khafra’s Valley Temple, lines 380–381",The east façade has two entrances; associated inscriptions mention Bastet at the north entrance and Hathor at the south entrance. Flanking sphinx/lion figures are reconstructed.,
obs.room.oxford.valley_niches,architecture_statuary,khafre_valley_temple_t_hall,src.oxford.flentye2018,SCHOLARLY_SYNTHESIS,NONE,HIGH,"Khafra’s Valley Temple, line 382","Twenty-three niches are reported in the alabaster floor along the T-shaped hall’s granite walls, arranged 3/7/3/7/3 in Seidel’s reconstruction.","{""count"":23,""arrangement"":[3,7,3,7,3]}"
obs.room.oxford.valley_center_niche,statuary_reconstruction,khafre_valley_temple_t_hall,src.oxford.flentye2018,SCHOLARLY_RECONSTRUCTION,NONE_INTERPRETIVE,MEDIUM_HIGH,"Khafra’s Valley Temple, line 383",The largest central niche on the far west wall is reconstructed as the position of the famous seated Khafre-and-Horus statue (Cairo CG 14).,
obs.room.arce.valley_plan_1_100,survey_archive,khafre_valley_temple,src.opencontext.arce_sphinx,ARCHIVE_INVENTORY_FACT,NONE_UNTIL_SOURCE_BYTES_PARSED,HIGH,Project archive inventory — detailed maps,The ARCE Sphinx Project archive includes detailed maps of the Fourth Dynasty Khafre Valley Temple at 1:100 scale.,"{""scale_denominator"":100}"
obs.room.arce.detail_sections,survey_archive,sphinx_complex,src.opencontext.arce_sphinx,ARCHIVE_INVENTORY_FACT,NONE_UNTIL_SOURCE_BYTES_PARSED,HIGH,Project archive inventory — architectural sections,The ARCE archive includes detailed architectural sections/elevations of masonry layers at 1:20 and 1:10 and wider topographic/geological mapping at 1:200.,"{""section_scales"":[20,10],""context_scale"":200}"
obs.room.ministry.valley_hall,architecture,khafre_valley_temple,src.egypt_ministry,OFFICIAL_SUMMARY,NONE,HIGH,Official Khafre complex summary — Valley Temple,"The Egyptian Ministry describes the Valley Temple as massive limestone encased in granite, with alabaster floors, a wide hall of monolithic granite pillars, and symmetrical wall niches that once held royal statues.",
obs.room.perring.belzoni_chamber,architecture,khafre_burial_chamber,src.perring1840.khafre,PRIMARY_HISTORICAL_SURVEY,NONE_EXISTING_INTERIOR_CROSSCHECK,HIGH,"Vol. II, Plate III, digital page #0005",Perring describes Belzoni’s chamber as rock-cut with a block-built inclined roof; the western end contains a plain red-granite sarcophagus sunk into the paved floor and surrounded by granite blocks.,
obs.room.perring.lower_chamber,architecture,khafre_lower_chamber,src.perring1840.khafre,PRIMARY_HISTORICAL_SURVEY,NONE_EXISTING_INTERIOR_CROSSCHECK,HIGH,"Vol. II, Plate IV, digital page #0005","Perring records a lower rock-cut chamber, connected to the lower passage system and historically affected by water ingress.",
obs.room.perring.two_entrances,architecture,khafre_pyramid_interior,src.perring1840.khafre,PRIMARY_HISTORICAL_SURVEY,NONE_EXISTING_INTERIOR_CROSSCHECK,HIGH,"Vol. II, Plates I–IV; digital page #0005","Perring’s survey documents upper and lower entrance/passages that converge into the Second Pyramid interior system, including a portcullis and horizontal passage.",
obs.plan.digitalgiza.pyramid_temple_refs,bibliography,khafre_pyramid_temple,src.digitalgiza.khafre_pyramid_temple,CATALOG_FACT,NONE,HIGH,3D model/full bibliography record,"Digital Giza’s Khafre Pyramid Temple 3D record cross-links Hölscher, Arnold, Ricke, Hassan and Maragioglio/Rinaldi as reconstruction/bibliographic sources.",
obs.plan.digitalgiza.valley_temple_refs,bibliography,khafre_valley_temple,src.digitalgiza.khafre_valley_temple,CATALOG_FACT,NONE,HIGH,3D model/full bibliography record,"Digital Giza’s Khafre Valley Temple 3D record cross-links Arnold, Hölscher, Ricke, Lehner and Maragioglio/Rinaldi.",
obs.room.perring.portcullis_mechanism,architecture_access_control,khafre_pyramid_interior_portcullis,src.perring1840.khafre,PRIMARY_HISTORICAL_SURVEY,NONE_EXISTING_INTERIOR_CROSSCHECK,HIGH,"Vol. II, Plate II — Passages; chamber/anteroom with three portcullises","Perring documents a chamber system with three portcullis slabs, grooves/recesses, and holes he interpreted as supporting or handling beams, providing direct evidence for deliberate physical closure within the interior route.",
obs.room.met.court_doorway_program,architecture_epigraphy_statuary,khafre_pyramid_temple_court,src.met.khafre_architrave,CURATORIAL_RECONSTRUCTION,NONE_CONTEXT_ONLY,HIGH_CURATORIAL,Met object N.A.1999.4.1 — architectural reconstruction of Khafre architrave,"The Met reconstructs Khafre's red-granite architrave as spanning wide piers and a doorway around the pyramid-temple court, with royal titulary above the threshold and traces interpreted as flying falcons beside royal statues inset in the piers.",
